build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697855,land_16b.png,optimized.cl,1039,789,16,false,1339,2241,4,398,4918626,664,4918626
1776697855,robot_16b.png,naive.cl,450,450,16,false,27,2241,13368,96,1215000,95,1215000
1776697855,robot_16b.png,optimized.cl,450,450,16,false,386,2241,6,99,1215000,95,1215000
1776697856,test_16b.png,naive.cl,1024,683,16,true,40,2241,10252,113,1398784,108,1398784
1776697856,test_16b.png,optimized.cl,1024,683,16,true,1219,2241,4,112,1398784,109,1398784
1776697856,moon_16bit.png,naive.cl,560,420,16,false,19,2240,13339,111,1411200,109,1411200
1776697856,moon_16bit.png,optimized.cl,560,420,16,false,463,2241,4,112,1411200,109,1411200
1776697856,wires_16b.png,naive.cl,326,326,16,false,13,2243,13365,51,637656,49,637656
1776697856,wires_16b.png,optimized.cl,326,326,16,false,262,2241,4,52,637656,49,637656
1776697856,color_gradient_16bit.png,naive.cl,512,512,16,false,22,2243,12369,126,1572864,122,1572864
1776697856,color_gradient_16bit.png,optimized.cl,512,512,16,false,456,2241,4,125,1572864,122,1572864
1776697856,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,234,2937600,392,2937600
1776697856,building_16b.png,optimized.cl,720,680,16,false,827,2241,4,231,2937600,355,2937600
1776697856,paint_16b.png,naive.cl,500,375,16,false,12,2241,12810,90,1125000,88,1125000
1776697856,paint_16b.png,optimized.cl,500,375,16,false,400,2241,4,91,1125000,88,1125000
1776697856,cars_16b.png,naive.cl,370,415,16,false,15,2242,13036,75,921300,70,921300
1776697856,cars_16b.png,optimized.cl,370,415,16,false,312,2241,4,75,921300,80,921300
1776697856,lamp_16b.png,naive.cl,450,500,16,false,56,2241,13578,108,1350000,105,1350000
1776697856,lamp_16b.png,optimized.cl,450,500,16,false,466,2241,4,108,1350000,105,1350000
1776697856,land_16b.png,naive.cl,1039,789,16,false,59,2241,13597,412,4918626,663,4918626
1776697856,land_16b.png,optimized.cl,1039,789,16,false,1333,2241,5,398,4918626,662,4918626
1776697856,robot_16b.png,naive.cl,450,450,16,false,27,2241,13368,96,1215000,94,1215000
1776697856,robot_16b.png,optimized.cl,450,450,16,false,388,2241,5,96,1215000,94,1215000
1776697858,test_16b.png,naive.cl,1024,683,16,true,40,2240,10251,113,1398784,108,1398784
1776697858,test_16b.png,optimized.cl,1024,683,16,true,1219,2242,6,116,1398784,108,1398784
1776697858,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13343,116,1411200,109,1411200
1776697858,moon_16bit.png,optimized.cl,560,420,16,false,458,2241,4,112,1411200,109,1411200
1776697858,wires_16b.png,naive.cl,326,326,16,false,10,2240,13364,52,637656,49,637656
1776697858,wires_16b.png,optimized.cl,326,326,16,false,265,2241,4,54,637656,49,637656
1776697858,color_gradient_16bit.png,naive.cl,512,512,16,false,25,2246,12378,126,1572864,122,1572864
